Wk#,Partner,Client,SSL,Job Dte(dd/mm/yyyy),Choice Pro#,Invoice#,Inv Dte(dd/mm/yyyy),Category,Qty,Wght,Job Time(Military hh:mm),Origin/Destination,FOB$,CIF$,AWB#,Kilo/Mile (One Way),Hndlng Base Chg,Hndlng Exc Pcs Chg,Hndlng OCPU/WC,Transp Base Chg(G Tkt),Transp Exc Mls Chg(G Tkt),Fuel Chg,Aft. Hrs/weekend/holiday,Wait Time,Secrty/Tolls Chg, 3rd Party/Freight Transp.Chg(Z Tkt) , Freight Fuel Surchg ,Cust. Clr,Duty,Imp/ Exp Vat,GST,Consump Tax,IOR Chg,Broker Chg,Cust. Storg Chg,Permit/ License Chg,K1 Form Chg,Layout Fee,Wire Chg,Labor Chg,Labor # hrs,Total Charge,Comments
49,ELE52240,ELP     ,FRA ,44166,ZAA4CPN5,2020-1125895,0,STND,1,,0.436111111,HOFHEIM  65719 DE 65719 DE,0,0,0,     ,3.91,,,,,,,,0,12.88,0.3864,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0,22.0664,repackaging
49,ELE52240,ELP     ,FRA ,44167,ZAA4CR8U,2020-1125895,0,ORDS,1,,0.158333333,MAINZ DE 55120 DE,0,0,0,     ,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,106.91,Scrapticket (103Û Basic rate)
49,ELE52240,ELP     ,FRA ,44167,ZAA4CRFL,2020-1125895,0,STND,2,,0.328472222,FREIBURG  79106 DE 79106 DE,0,0,0,     ,7.82,,,,,,,,0,12.88,0.3864,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0,25.9764,repackaging
49,ELE52240,ELP     ,FRA ,44168,ZAA4CTFA,2020-1125895,0,STND,2,,0.206944444,L?NEBURG  21339 DE 21339 DE,0,0,0,     ,7.82,,,,,,,,0,12.88,0.3864,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0,25.9764,repackaging
49,ELE52240,ELP     ,FRA ,44168,ZAA4CTZ5,2020-1125895,0,IRB ,1,,0.543055556,MAINZ DE 55120 DE,0,0,0,0,3.91,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
49,ELE52240,ELP     ,FRA ,44169,ZAA4CVTL,2020-1125895,0,STND,2,3,0.175694444,VILLINGEN-SCHWENNINGEN  78052 DE 78052 DE,0,0,0,     ,7.82,,,,,,,,0,14.74,0.4422,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0,27.8922,repackaging
49,ELE52240,ELP     ,FRA ,44169,ZAA4CW19,2020-1125895,0,STND,5,,0.377083333,AACHEN  52074 DE 52074 DE,0,0,0,     ,19.55,,,,,,,,0,12.88,0.3864,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0,37.7064,repackaging
49,ELE52240,ELP     ,FRA ,44169,ZAA4CW7W,2020-1125895,0,WCOC,16,,0.41875,MAINZ DE 55120 DE,0,0,0,     ,62.56,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.6,0,289.16,"Scrapticket (103Û Basic rate + 15 packages *8,24Û)"
49,ELE52240,ELP     ,FRA ,44169,ZAA4CWSN,2020-1125895,0,STND,1,,0.491666667,FRANKFURT AM MAIN  60431 DE 60431 DE,0,0,0,     ,3.91,,,,,,,,0,12.88,0.3864,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0,22.0664,repackaging
49,INF52413,EMEA DEP,FRA ,44168,ZAA4CTL6,2020-1125895,0,WCOC,25,,0.318055556,MAINZ DE 55120 DE,0,0,0,     ,97.75,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,97.75,
49,PAR52372,PPT EURO,FRA ,44167,G6595481,2020-1125895,0,WC  ,1,,0.577777778,MAINZ DE 55120 DE,0,0,0,0,3.91,,,0,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
49,PAR52372,PPT EURO,FRA ,44167,G6595771,2020-1125895,0,WC  ,1,,0.444444444,MAINZ DE 55120 DE,0,0,0,0,3.91,,,0,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
49,PAR52372,PPT EURO,FRA ,44167,G6595934,2020-1125895,0,PICK,1,,0.458333333,Frankfurt am Main DE 60327 DE,0,0,0,42,3.91,,,39.55,12.4,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,55.86,
49,PAR52372,PPT EURO,FRA ,44167,G6596004,2020-1125895,0,WC  ,1,,0.697916667,MAINZ DE 55120 DE,0,0,0,0,3.91,,,0,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
49,PAR52372,PPT EURO,FRA ,44169,G6596462,2020-1125895,0,WC  ,1,,0.780555556,MAINZ DE 55120 DE,0,0,0,0,3.91,,,0,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
49,PAR52372,PPT EURO,FRA ,44169,G6596487,2020-1125895,0,WC  ,1,,0.544444444,MAINZ DE 55120 DE,0,0,0,0,3.91,,,0,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,3.91,
49,PAR52372,PPT EURO,FRA ,44166,ZAA4CPWL,2020-1125895,0,OCPU,2,,0.489583333,LARKFIELD GB ME2 06QQ GB,0,0,0,     ,7.82,,,,,,,,0,5.15,0.1545,0,0,0,0,0,0,0,0,0,0,0,0,,0,13.1245,
49,PAR52372,PPT EURO,FRA ,44168,ZAA4CQ7A,2020-1125895,0,IRP ,3,,0.217361111,MAINZ DE 55120 DE,0,0,0,0,11.73,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,11.73,
49,PAR52372,PPT EURO,FRA ,44167,ZAA4CRLJ,2020-1125895,0,OCPU,1,,0.398611111,Sundbyberg AB 172 66 SE,0,0,0,     ,3.91,,,,,,,,0,5.15,0.1545,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0,14.1045,repackaging
